gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
1884906513.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,573.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1978-02-14,,45.0,45.0,1978.0,2.0,14.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Mampong-Akwapim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flagellaria guineensis Schumach.,,,,,,,,Plantae,Tracheophyta,Liliopsida,Poales,,Flagellariaceae,,,,Flagellaria,Flagellaria,,,guineensis,togoensis,,SPECIES,,"Twi:Me_re_bia/Ahomantiantia,Fante:Biribie_,Nzema:Nghafale_",,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:49.178Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY,,False,False,5287573.0,5287573.0,6.0,7707728.0,220.0,1369.0,3742.0,2693391.0,,5287573.0,Flagellaria guineensis,Flagellaria guineensis Schumach.,Flagellaria guineensis Schumach,,EML,2024-01-24T20:29:49.178Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,NE
1884906512.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,559.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1972-08-22,,235.0,235.0,1972.0,8.0,22.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Mampong Akwapem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commelina nudiflora L.,,,,,,,,Plantae,Tracheophyta,Liliopsida,Commelinales,,Commelinaceae,,,,Murdannia,Commelina,,,nudiflora,togoensis,,SPECIES,,Twi:Onyame Bewu Na Mawu,,SYNONYM,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:46.757Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY,,False,False,2764693.0,2764680.0,6.0,7707728.0,220.0,553.0,12155.0,2764564.0,,2764680.0,Murdannia nudiflora,Murdannia nudiflora (L.) Brenan,Commelina nudiflora Linn.,,EML,2024-01-24T20:29:46.757Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,NE
1884906511.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,552.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1975-03-05,,64.0,64.0,1975.0,3.0,5.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Mampong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newbouldia laevis (Beauverd) Seem.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,,Bignoniaceae,,,,Newbouldia,Newbouldia,,,laevis,togoensis,,SPECIES,,"Twi:_sensenma/Sansanemasa,Ewe;Aviati(kp_tiri) Ga:Hiatso",,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:46.178Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY,,False,False,4091370.0,4091370.0,6.0,7707728.0,220.0,408.0,6655.0,5883143.598513011,,4091370.0,Newbouldia laevis,Newbouldia laevis (Beauverd) Seem.,Newbouldia laevis Seem,,EML,2024-01-24T20:29:46.178Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,LC
1884906510.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,576.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1991-06-24,,175.0,175.0,1991.0,6.0,24.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Awherease-Akuapim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marantochloa ramosissima (Benth.) Hutch.,,,,,,,,Plantae,Tracheophyta,Liliopsida,Zingiberales,,Marantaceae,,,,Marantochloa,Marantochloa,,,ramosissima,togoensis,,SPECIES,,Twi:Ahaban,,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:49.514Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY,,False,False,2761193.0,2761193.0,6.0,7707728.0,220.0,627.0,8784.0,2761156.0,,2761193.0,Marantochloa ramosissima,Marantochloa ramosissima (Benth.) Hutch.,Marantochloa ramosissima(Benth.)Hutch,,EML,2024-01-24T20:29:49.514Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,NE
1884906509.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,574.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1990-08-11,,223.0,223.0,1990.0,8.0,11.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Mampong Akwapem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flagellaria guineensis Schumach.,,,,,,,,Plantae,Tracheophyta,Liliopsida,Poales,,Flagellariaceae,,,,Flagellaria,Flagellaria,,,guineensis,togoensis,,SPECIES,,Twi:Mom_bea,,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:49.265Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY,,False,False,5287573.0,5287573.0,6.0,7707728.0,220.0,1369.0,3742.0,2693391.0,,5287573.0,Flagellaria guineensis,Flagellaria guineensis Schumach.,Flagellaria guineensis Schumach,,EML,2024-01-24T20:29:49.265Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,NE
1884906508.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,568.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2010-01-07,,7.0,7.0,2010.0,1.0,7.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Tetteh Quarshie Memorial Hospital premisis (Mampong Akuapim),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colocasia esculenta (L.) Schott,,,,,,,,Plantae,Tracheophyta,Liliopsida,Alismatales,,Araceae,,,,Colocasia,Colocasia,,,esculenta,togoensis,,SPECIES,,"Twi:Bor_b_/Kooko,Vle",,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:48.759Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY,,False,False,5330776.0,5330776.0,6.0,7707728.0,220.0,551.0,6979.0,5330758.0,,5330776.0,Colocasia esculenta,Colocasia esculenta (L.) Schott,Coloccasia esculenta,,EML,2024-01-24T20:29:48.759Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,LC
1884906507.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,531.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2003-12-04,,338.0,338.0,2003.0,12.0,4.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Aburi hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoslundia Vahl,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Lamiales,,Lamiaceae,,,,Hoslundia,Hoslundia,,,indica,togoensis,,GENUS,,Twi: Ohwirem,,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:44.185Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY,,False,False,7306762.0,7306762.0,6.0,7707728.0,220.0,408.0,2497.0,5883143.598513011,,4447644.24248497,Rourea coccinea,Hoslundia Vahl,Hoslundia Opposita,,EML,2024-01-24T20:29:44.185Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,NE
1884906506.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,566.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1995-07-11,,192.0,192.0,1995.0,7.0,11.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Mampong Akwapem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Culcasia angolensis Welw. ex Schott,,,,,,,,Plantae,Tracheophyta,Liliopsida,Alismatales,,Araceae,,,,Culcasia,Culcasia,,,angolensis,togoensis,,SPECIES,,"Twi:K_nkroaba/Nkonkuraha,Ewe:Anosh x tinga",,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:48.505Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY,,False,False,2869032.0,2869032.0,6.0,7707728.0,220.0,551.0,6979.0,2869018.0,,2869032.0,Culcasia angolensis,Culcasia angolensis Welw. ex Schott,Culcasia angolensis Welx.ex Schott,,EML,2024-01-24T20:29:48.505Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,NE
1884906505.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,577.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2009-01-29,,29.0,29.0,2009.0,1.0,29.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Begro Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marantochloa purpurea (Ridl.) Milne-Redh.,,,,,,,,Plantae,Tracheophyta,Liliopsida,Zingiberales,,Marantaceae,,,,Marantochloa,Marantochloa,,,purpurea,togoensis,,SPECIES,,Twi:Anworam,,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:49.910Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY,,False,False,2761212.0,2761212.0,6.0,7707728.0,220.0,627.0,8784.0,2761156.0,,2761212.0,Marantochloa purpurea,Marantochloa purpurea (Ridl.) Milne-Redh.,Marantochloa purpurea,,EML,2024-01-24T20:29:49.910Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,NE
1884906504.0,,,,CC_BY_4_0,,,,,,,,,,,,,PRESERVED_SPECIMEN,,,,555.0,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,1972-11-24,,329.0,329.0,1972.0,11.0,24.0,,,,,,,,,,,,AFRICA,,,,GH,Eastern,,,Mampong Akwapem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crinum glaucum A.Chev.,,,,,,,,Plantae,Tracheophyta,Liliopsida,Asparagales,,Amaryllidaceae,,,,Crinum,Crinum,,,glaucum,togoensis,,SPECIES,,Twi:sukooko/Ditto,,ACCEPTED,,,7d0795c4-a685-4ab1-9fd6-71737a87fe8c,GH,2024-01-24T20:29:46.394Z,,,,,,CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK,,False,False,2853650.0,2853650.0,6.0,7707728.0,220.0,1169.0,7682.0,2773870.0,,2853650.0,Crinum glaucum,Crinum glaucum A.Chev.,Crinum glaucum A.cher.,,EML,2024-01-24T20:29:46.394Z,2023-01-06T22:00:31.820Z,False,,BID-AF2017-0226-NAC,False,AFRICA,AFRICA,,,,,,,,,LC
