gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1884906495																	PreservedSpecimen				554																																														1990	12	3																Ghana	GHA	Eastern			old mampong-Koforidua road																																																																				Torenia spicata Engl								Plantae					Scrophulariaceae																		
1884906494																	PreservedSpecimen				562																																														1972	12	29																Ghana	GHA	Western			Osobi near Awutu																																																																				Anchomanes difformis								Plantae					Araceae																		
1884906493																	PreservedSpecimen				550																																														1991	3	14																Ghana	GHA	Eastern			Aboretum																																																																				Kigelia africana (lann).Benth								Plantae					Bigononiaceae														Twi:Nufuten, Ewe:Nyankpe,Nyakpekpe ,Ga:Ts_ts_tso,Nzima:_sa				
1884906492																	PreservedSpecimen				532																																														1999	4	26																Ghana	GHA	Eastern			Amanokrom Akwapem																																																																				Hoslundia Opposita								Plantae					Labiatae														Twi:abrewa ani nsu/nunum-nini Ewe:Ak_tadzometsi Ga:Ablewanunsu(Abokobi)				
1884906491																	PreservedSpecimen				564																																														1975	8	11																Ghana	GHA	Eastern			Ayikuma/Agomeda road																																																																				Anchomanes difformis(Bl.)Engl.								Plantae					Araceae														Twi:_p_/_p_ko_,Fante:Atoe,Ga:Batafolia kani				
1884906490																	PreservedSpecimen				533																																														1972	11	22																Ghana	GHA																																																																								Asparagus warneckei(Engl.)Hutch.								Plantae					Liliaceae														Twi:Kwame Nonomaa				
1884906489																	PreservedSpecimen				518																																														1991	6	24																Ghana	GHA	Eastern			Awherease-Akuapim																																																																				Platyerium angolense Welw ex.Hook								Plantae					Polypodiaceae														Twi: ahum ne aham				
1884906488																	PreservedSpecimen				560																																														1991	6	3																Ghana	GHA	Eastern			Amanokrom- Akwapem																																																																				Palisota hirsuta (Thunb.) K.Schum.								Plantae					Commelinaceae														Twi:Mpentemi				
1884906487																	PreservedSpecimen				570																																														1993	12	1																Ghana	GHA	Eastern			Gyinatwi near asamankese																																																																				Cytosperma senegalense(Schott)Engl.								Plantae					Araceae																		
1884906486																	PreservedSpecimen				519																																														1999	12	16																Zimbabwe	ZWE	Harare			Harare																																																																				Ginko biloba								Plantae					Ginkgoaceae																		
1884906485																	PreservedSpecimen				575																																														1991	6	24																Ghana	GHA	Eastern																																																																							Musa paradisiaca								Plantae					Musaceae														Twi:Br_de frankaa				
1884906484																	PreservedSpecimen				523																																														1963	1	8																Ghana	GHA	Central			Nkamfoa																																																																				Costus afer Ker								Plantae					Zingiberaceae																		
1884906483																	PreservedSpecimen				565																																														1994	5	16																Ghana	GHA				Mampong-Akwapim CSRPM																																																																				Anchomanes difformis(Bl.)Engl.								Plantae					Araceae														Twi:_pe				
1884906482																	PreservedSpecimen				465																																														1978	1	31																Ghana	GHA																																																																								Premna quadrifolia Sohum and Thonn								Plantae					Verbenaceae														Ga:Obosutso				
1884906481																	PreservedSpecimen				526																																														1991	3	14																Ghana	GHA	Greater Accra			Achimota School Farm																																																																				Ocimum basilicum Linn								Plantae					Labiatae																		
1884906479																	PreservedSpecimen				557																																														1964	3	3																SLE	GHA	Western Area			Fogbo S. of Newton																																																																				Palisota hirsuta								Plantae					Commelinaceae																		
1884906478																	PreservedSpecimen				538																																														1992	7	9																Ghana	GHA	Eastern			CSRPM Arboretum, Mamong																																																																				Aloe barteri Bak.								Plantae					Liliaceae														Twi:Sabrob_				
1884906477																	PreservedSpecimen				525																																														1991	4	10																Ghana	GHA	Eastern																																																																							Dichapetalum guineese(DC) Keay(syn.D.flexuosum Eng.and D.Rowlandii Hutch and Dalz								Plantae					Chailletiaceae														Twi:_teaa,_feaa,_fewabiri ,Nkronnu,Akwakora,kyekyereantena ,Ga:Anto,Ewe:Kl_tsi(Aw) ,Tsrokpati				
1884906476																	PreservedSpecimen				540																																														1991	3	21																Ghana	GHA	Eastern			around CSRPM building																																																																				Justica flava(Forsk) Vahl								Plantae					Acanthaceae														Twi:Ntumunum				
1884906475																	PreservedSpecimen				513																																														1991	11	18																Ghana	GHA	Eastern			Tetteh Quarshie Memorial Hospital premisis (Mampong Akuapim)																																																																				Kyllinga erecta (Schumach) Var. africana (Kuk)								Plantae					Cyperaceae																		
1884906474																	PreservedSpecimen				579																																														2010																		Ghana	GHA																																																																								Smilax kraussiana								Plantae					Similacaceae														Ewe:Madrale				
1884906473																	PreservedSpecimen				502																																														2010																		Ghana	GHA	Eastern																																																																							Ipomoea mauritania								Plantae					Convolvulaceae																		
1884906472																	PreservedSpecimen				534																																														1990	10	17																Ghana	GHA	Volta			Annum-Asikuma-Juapong road																																																																				Asparagus africanus Lam.								Plantae					Liliaceae																		
1884906471																	PreservedSpecimen				501																																														1994	1	17																Ghana	GHA	Eastern			Tetteh Quarshie Memorial Hospital premisis (Mampong Akuapim)																																																																				Cuscuta australis R.Br.								Plantae					Convolvulaceae																		
1884906470																	PreservedSpecimen				571																																														2011	2	20																Ghana	GHA	Eastern			Near production unit CSRPM Mampong																																																																				Mollugo nudicaulis Lam.								Plantae					Aizoaceae														Ewe: Fofuatatoga,Ga:Yitso Tsofa				
1884906469																	PreservedSpecimen				549																																														2010	3	4																Ghana	GHA	Eastern			Mangoase Prako road																																																																				Stereospermum kunthianum								Plantae					Bigononiaceae														Twi:_sonoetokwakofo_				
1884906468																	PreservedSpecimen				567																																														2009	7	24																Ghana	GHA	Eastern			Mamfe-Larteh road between Benkum Sec. Sch.& chapel on right side of road																																																																				Coloccasia esculenta								Plantae					Araceae														Twi:Bor_b_/Kooko,Vle				
1884906467																	PreservedSpecimen				504																																														1992	5	10																Ghana	GHA	Eastern			Maane-Amanokrom																																																																				Olyra latifolia Linn								Plantae					Gramineae														Twi:_dorob_n				
1884906466																	PreservedSpecimen				537																																														1991	3	21																Ghana	GHA	Eastern			Amanfo near Mampong-Akwapem																																																																				Asparagus pubescens Bak.								Plantae					Liliaceae																		
1884906465																	PreservedSpecimen				551																																														1979	11	23																Ghana	GHA	Eastern			Mampong																																																																				Newbouldia laevis Seem								Plantae					Bigononiaceae														Twi:_sensenma/Sansanemasa,Ewe;Aviati(kp_tiri) Ga:Hiatso				
1884906464																	PreservedSpecimen				500																																														1992	7	8																Ghana	GHA	Eastern			Mampong Akwapem																																																																				ipomoea mauritania Jacq (Syn. Ipomoea digitata)								Plantae					Convolvulaceae																		
1884906463																	PreservedSpecimen				462																																														1990	11	29																Ghana	GHA	Eastern			Mampong Akuapim																																																																				Stachytarapeta angustifolia(Mill) Vahl								Plantae					Verbenaceae																		
1884906462																	PreservedSpecimen				535																																														1992	7	21																Ghana	GHA	Eastern			Aboretum																																																																				Gloriosa superba Linn.								Plantae					Liliaceae																		
1884906461																	PreservedSpecimen				505																																														1991	6	24																Ghana	GHA	Eastern																																																																							Sporobolus pyramidalis.P. Beauv.								Plantae					Gramineae														Twi:Senpenpe/Ap_nkyebodwes_				
1884906460																	PreservedSpecimen				548																																														1990	2	12																Ghana	GHA				Blajai																																																																				Stereospermum kunthianum Cham								Plantae					Bigononiaceae														Twi:_sonoetokwakofo_				
1884906458																	PreservedSpecimen				520																																														1991	3	8																Ghana	GHA	Eastern			CSRPM Compound or surrounding																																																																				Afrmomum melegueta K.Sohum								Plantae					Zingiberaceae														Twi: Fam wisa				
1884906457																	PreservedSpecimen				514																																														1991	11	14																Ghana	GHA	Eastern			Tetteh Quarshie Memorial Hospital premisis (Mampong Akuapim)																																																																				Mariscus alternifolius Vahl.								Plantae					Cyperaceae																		
1884906456																	PreservedSpecimen				556																																														1991	5	28																Ghana	GHA	Eastern			oteme near mampong akwapem																																																																				Crinum glaucum A.cher.(syn.c.jagus(thomps)Dandy								Plantae					Amaryllidaceae														Twi:sukooko/Ditto				
1884906455																	PreservedSpecimen				487																																														2010	9	2																Ghana	GHA	Eastern			Twum Guaso-Konko Road																																																																				Pavetta corymbosa(DC)								Plantae					Rubiaceae														Ewe:Kronko				
1884906453																	PreservedSpecimen				536																																														1991	5	28																Ghana	GHA	Eastern																																																																							Allium ascalonicum								Plantae					Liliaceae																		
1884906452																	PreservedSpecimen				547																																														2010																		Ghana	GHA																																																																								Newbouldia laevis								Plantae					Bigononiaceae														Twi:Sansanemasa,Ewe Avia Ga:Hiatso,Hiabaatso				
1884906451																	PreservedSpecimen				569																																														1972	8	23																Ghana	GHA																																																																								Cercestis afzelii Schott								Plantae					Araceae														Twi:Batatwene/Ditto				
1884906450																	PreservedSpecimen				563																																														1972	8	23																Ghana	GHA																																																																								Anchomanes difformis(Bl.)Engl.								Plantae					Araceae														Twi:Opeekon/Ope				
1884906449																	PreservedSpecimen				561																																														2013																		Ghana	GHA	Eastern			Mampong-Akwapim																																																																				Palisota hirsuta (Thunb.) K.Schum.								Plantae					Commelinaceae														Twi:Mpentemi				
1884906448																	PreservedSpecimen				498																																														1990	11	19																Ghana	GHA	Eastern			Mampong Akwapem near specailist college for the deaf and Dumb																																																																				Ipomoea involucarata P. Beauv.								Plantae					Convolvulaceae																		
1884906447																	PreservedSpecimen				483																																														1994	4	26																Ghana	GHA	Eastern			CSRM botanical garden Mampong Akwapem																																																																				Morinda Lucida Benth								Plantae					Rubiaceae														_pesikwa,Bronya dua,Ga:Kp_tiki,Bronya tso,Nzima:Sima				
1884906446																	PreservedSpecimen				508																																														1991	6	24																Ghana	GHA	Eastern			Awherease- Akwapin																																																																				Eleusine indica (Linn) Gaertn								Plantae					Gramineae														Twi:Abonsam abodwese				
1884906445																	PreservedSpecimen				529																																														2003	11	17																Ghana	GHA	Greater Accra			Achimota																																																																				Ocimum gratissimum Linn (Syn.O.Viride Willd)								Plantae					Labiatae																		
1884906444																	PreservedSpecimen				485																																														1991	2	18																Ghana	GHA	Eastern			Aboretum CSRPM mampong Akwapem																																																																				Psychotria warneckei K. schum krause								Plantae					Rubiaceae																		
1884906443																	PreservedSpecimen				545																																														1977	8	10																Ghana	GHA	Eastern			Ayensu near mpakadom																																																																				Markamia lutea Benth								Plantae					Bigononiaceae														Twi:_hotan				
1884906442																	PreservedSpecimen				474																																														1978	2	23																Ghana	GHA				Between Agomeda and Somonya																																																																				Gardenia Ternifolia Schum L Thonn (Syn. G. Jovistonantis)								Plantae					Rubiaceae																		
1884906441																	PreservedSpecimen				527																																														1991	2	18																Ghana	GHA	Eastern			Tetteh Quarshie Memorial Hospital premisis (Mampong Akuapim)																																																																				Loenotis nepetifolia Var.africana(P.Beaux) J.K.Morton								Plantae					Labiatae																		
1884906440																	PreservedSpecimen				558																																														1991	5	28																Ghana	GHA	Eastern			Amanfo near Mampong-Akwapem																																																																				Pollia condensata C.B.CL.								Plantae					Commelinaceae														Twi:Otwe-aniwa				
1884906439																	PreservedSpecimen				503																																														2003	11	17																Ghana	GHA	Greater Accra			Achimota																																																																				chenopodium ambrosioides								Plantae					Chenopodiaceae																		
1884906438																	PreservedSpecimen				470																																														2010	3	24																Ghana	GHA				mangoase prako road																																																																				Paretta millis								Plantae					Rubiaceae														Dagarti: Logier				
1884906437																	PreservedSpecimen				524																																														1991	8	28																Ghana	GHA	Eastern			2km beyond akuse																																																																				Discorea pruinose Benth								Plantae					Dioscoreaceae																		
1884906436																	PreservedSpecimen				440																																														2010	10	28																Ghana	GHA	Eastern																																																																							Vernonia cinerea								Plantae					Compositae/Asteraceae														Ewe:Hosikonu				
1884906435																	PreservedSpecimen				467																																														1965	8	18																Ghana	GHA	Western			Nsuanem;Agona J. to Tarkwa																																																																				lycophila hirsuta								Plantae					Rubiaceae																		
1884906434																	PreservedSpecimen				466																																														1976	1	21																Ghana	GHA	Eastern			Atewa range F.R.																																																																				nauclea diderrichii								Plantae					Rubiaceae																		
1884906433																	PreservedSpecimen				510																																														2011	2	7																Ghana	GHA	Eastern			Yensiso Near Adawso																																																																				Cymbopong citratus (DC) Stapf.								Plantae					Gramineae														Ewe:Tii-gbe				
1884906432																	PreservedSpecimen				530																																														2009	2	12																Ghana	GHA	Volta			Tsito																																																																				Hyptis suaveolens								Plantae					Labiatae														Twi:Opea,Peaba,Peaa;Ewe:Awusakadi,Adi,Kadi;Ga:Suruwie				
1884906431																	PreservedSpecimen				541																																														2009	4	15																Ghana	GHA	Eastern			underway of lowest mampong aboretum																																																																				Elytratria marginata								Plantae					Acanthaceae																		
1884906430																	PreservedSpecimen				471																																														1988	12	20																Ghana	GHA	Upper East																																																																							Fadogia Agrestis Schweinf								Plantae					Rubiaceae														Twi: Nyankumati/Ogyapam Ashanti: Ogyapam/Nietea-Dupow				
1884906429																	PreservedSpecimen				499																																														2010	3	4																Ghana	GHA	Eastern			Ho-Tsito road																																																																				Ipomoea coptica								Plantae					Convolvulaceae														Ga:Klesume				
1884906428																	PreservedSpecimen				516																																														1991	3	3																Ghana	GHA	Eastern			Ayikuma project,CSRPM																																																																				Cyperus esculentus Linn								Plantae					Cyperaceae														Ewe:Efio,Twi:Atadwe,Ga:ata_me				
1884906427																	PreservedSpecimen				452																																														1993	10	1																Ghana	GHA	Eastern			Akwamu- Anyansu																																																																				Pergularia daemia(Forsk) chiov (syn.pergularia extensa)								Plantae					Asclepidaceae																		
1884906426																	PreservedSpecimen				546																																														1977	8	9																Ghana	GHA	Eastern			Ayensu near mpakadom																																																																				Markamia lutea								Plantae					Bigononiaceae														Twi:Ahotan,_fu_-Bese,Sisimasma				
1884906425																	PreservedSpecimen				511																																														1991	11	14																Ghana	GHA	Eastern			Tetteh Quarshie Memorial Hospital premisis (Mampong Akuapim)																																																																				Cyperus dilatatus Schum and Thonn								Plantae					Cyperaceae																		
1884906424																	PreservedSpecimen				491																																														1975	2	14																Ghana	GHA	Eastern			Mampong,akuapim																																																																				Diodia Scandens Sw.								Plantae					Rubiaceae														Twi:Apraprayam				
1884906423																	PreservedSpecimen				463																																														1990	12	27																Ghana	GHA	Eastern			Mampong Aboretum																																																																				Vitex doniana Sweet(syn.V.cuneata thonn)								Plantae					Verbenaceae														Twi:Afetewa/Abisawa, Ga:soi,so_				
1884906422																	PreservedSpecimen				507																																														1992	8	3																Ghana	GHA	Eastern			Amanokrom Akwapem																																																																				Zea mays								Plantae					Gramineae														Twi:Aburow				
1884906421																	PreservedSpecimen				539																																														2010	10	20																Ghana	GHA	Eastern			CSRPM Building ,Mampong Akwapem																																																																				Hypoestes verticilllans (Linn.f) Solanda, ex roem and schult.								Plantae					Acanthaceae														Twi:Kwasi peter_pr_ ,Ewe:Lamaduitoga				
1884906420																	PreservedSpecimen				454																																														2010																		Ghana	GHA	Volta			Ho-Tsito road																																																																				Gonglonema Latifolium								Plantae					Asclepidaceae																		
1884906419																	PreservedSpecimen				484																																														1988	12	20																Ghana	GHA	Upper east			Nandom																																																																				Fadogia agrestis Schweinf								Plantae					Rubiaceae														Dagarti:Logier				
1884906418																	PreservedSpecimen				521																																														2010	3	24																Ghana	GHA																																																																								Afrmomum melegueta								Plantae					Zingiberaceae														Twi: Fam wisa Ewe:Amusa,Ga;Anavie				
1884906417																	PreservedSpecimen				472																																														1994	4	12																Ghana	GHA	Eastern			CSPRM Botanical Garden, Mampong-Akwapim																																																																				Canthium Glabriflorum Hiern								Plantae					Rubiaceae														Twi: Nyankumati Ashanti: Ogyapam/Ntetea-Dupow				
1884906416																	PreservedSpecimen				482																																														1975	1	24																Ghana	GHA	Eastern			Mampong Akuapem																																																																				Psychoritria calva Hiern								Plantae					Rubiaceae														Twi:Nk_nk_,				
1884906415																	PreservedSpecimen				528																																														1991	1	3																Ghana	GHA	Eastern			Mampong Akwapem																																																																				Ocimum gratissimum Linn (Syn.O.Viride Willd)								Plantae					Labiatae														Twi:Nunum/Onunum,Ewe:Dzevetior/Dzoveti,Ga:Suru/Sulu				
1884906414																	PreservedSpecimen				455																																														1977	8	15																Ghana	GHA	Eastern																																																																							Secamone Afzelii(schultes)k.Schum								Plantae					Asclepidaceae														Twi;Korantemaa/Ahaban Korantemaa				
1884906413																	PreservedSpecimen				420																																														2008	5	15																Ghana	GHA	Eastern			On the junction fron old Tafo to New Tafo																																																																				Ageiatum coryzoides								Plantae					Compositae/Asteraceae																		
1884906412																	PreservedSpecimen				515																																														1988	12	27																Ghana	GHA	Upper east			Nandom																																																																				Cyperus articulatus Linn								Plantae					Cyperaceae														Dagarti:Sinsinr_				
1884906411																	PreservedSpecimen				522																																														1993	6	7																Ghana	GHA	Eastern			Mampong Akuapim near pond towards broadcasting house on accra road																																																																				Costus afer Ker-Gawwl								Plantae					Zingiberaceae														Twi:Somme /Somme-nini				
1884906410																	PreservedSpecimen				443																																														1991	6	17																Ghana	GHA	Eastern																																																																							Lactuca taraxacifolia(Wild) K.Schum ex Hornemann.								Plantae					Compositae/Asteraceae																		
1884906408																	PreservedSpecimen				433																																														1991	5	28																Ghana	GHA	Eastern			around CSRPM building																																																																				Tridax procumbens Linn.								Plantae					Compositae/Asteraceae																		
